"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_J70631";"P0AEX9";"246---1343";"27---392"
"BBa_J70631";"P42212";"1353---2060";"3---238"
"BBa_J70632";"P42212";"65---772";"3---238"
"BBa_J70633";"P42212";"273---980";"3---238"
"BBa_J70645";"Q9S3V1";"1---1254";"1---418"
"BBa_J70646";"Q9S3V0";"1---2994";"1---998"
"BBa_J70647";"Q9S3U9";"64---1287";"22---429"
"BBa_J70649";"Q9S3U8";"1---1119";"1---373"
"BBa_J70656";"P42212";"34---741";"3---238"
"BBa_J70658";"P42212";"46---753";"3---238"
"BBa_J72006";"P23941";"1---1269";"1---423"
"BBa_J72010";"P00722";"1---3072";"1---1024"
"BBa_J72012";"Q45489";"1---1080";"1---360"
"BBa_J72037";"Q08278";"9---320";"102---205"
"BBa_J72038";"P47822";"6---401";"1---132"
"BBa_J72039";"Q08278";"44---355";"102---205"
"BBa_J72040";"P47822";"36---431";"1---132"
"BBa_J72083";"P28813";"16---1206";"1---397"
"BBa_J72085";"P19654";"18---860";"1---281"
"BBa_J72086";"P03067";"14---928";"1---305"
"BBa_J72089";"P13122";"31---879";"1---283"
"BBa_J72122";"Q9U6Y8";"20---682";"1---221"
"BBa_J72123";"P00720";"17---508";"1---164"
"BBa_J72124";"P06808";"17---670";"1---218"
"BBa_J72125";"P13304";"15---305";"1---97"
"BBa_J72162";"P03067";"14---928";"1---305"
"BBa_J72164";"P77488";"1---1860";"1---620"
"BBa_J72165";"P00384";"22---255";"1---78"
"BBa_J72168";"P36667";"20---811";"1---264"
"BBa_J72169";"O85343";"13127---14485";"4---456"
"BBa_J72169";"P37741";"11666---13003";"1---446"
"BBa_J72169";"P55293";"407---1489";"1---361"
"BBa_J72170";"P13266";"13737---12484";"1---419"
"BBa_J72170";"P42217";"5532---7556";"1---675"
"BBa_J72170";"P42218";"7594---8760";"1---389"
"BBa_J72170";"P62587";"1937---3082";"1---382"
"BBa_J72170";"Q03961";"3109---4782";"1---558"
"BBa_J72170";"Q47334";"882---1862";"1---327"
"BBa_J72170";"Q47400";"12484---11312";"1---391"
"BBa_J72172";"P24175";"30---1385";"4---456"
"BBa_J72173";"P00648";"1---330";"48---157"
"BBa_J72175";"P11540";"23---292";"1---90"
"BBa_J72176";"P11922";"43---2997";"1---985"
"BBa_J72178";"P0AEX9";"21---1208";"1---396"
"BBa_J72180";"P77335";"31---939";"1---303"
"BBa_J72181";"P23940";"171---806";"2---213"
"BBa_J85008";"Q9L8R8";"81---830";"1---250"
"BBa_J85125";"Q3YVP0";"1---468";"1---156"
"BBa_J85800";"P03023";"8---1087";"1---360"
"BBa_J85800";"P42212";"1181---1894";"1---238"
"BBa_J85801";"P04483";"10---630";"1---207"
"BBa_J85802";"P42212";"39---752";"1---238"
"BBa_J92004";"P0CB53";"519---4";"1---172"
"BBa_J92013";"A5UL47";"1---543";"1---181"
"BBa_K076002";"P70660";"1---732";"1---244"
"BBa_K076008";"P21918";"1---1431";"1---477"
"BBa_K076009";"P52954";"1---807";"1---269"
"BBa_K076010";"P57695";"1---1347";"1---457"
"BBa_K076014";"Q02067";"181---693";"61---231"
"BBa_K076016";"P17493";"1---372";"1---124"
"BBa_K078005";"P47243";"1---882";"1---294"
"BBa_K078007";"P47227";"828---1";"1---276"
"BBa_K078008";"P47228";"895---2";"1---298"
"BBa_K078009";"P47229";"1---858";"1---286"
"BBa_K079015";"P02920";"1---1251";"1---417"
"BBa_K082003";"P42212";"1---714";"1---238"
"BBa_K082004";"P03023";"1---1080";"1---360"
"BBa_K082005";"P03023";"1---1080";"1---360"
"BBa_K082006";"P12746";"1---750";"1---250"
"BBa_K089001";"P14611";"1---1179";"1---393"
"BBa_K089002";"P14697";"1---738";"1---246"
"BBa_K089003";"P23608";"1---1767";"1---589"
"BBa_K090003";"B5YQN9";"1764---3809";"1---682"
"BBa_K091001";"P76141";"1---951";"1---317"
"BBa_K091002";"P77432";"1---1590";"1---530"
"BBa_K091109";"Q3YYH1";"1---513";"1---171"
"BBa_K091121";"P03023";"1---1080";"1---360"
"BBa_K091122";"P03023";"1---1080";"1---360"
"BBa_K091124";"P03023";"1---1080";"1---360"
"BBa_K091127";"P03023";"1---1080";"1---360"
"BBa_K091228";"P03034";"9---716";"2---237"
"BBa_K091229";"P03034";"27---734";"2---237"
"BBa_K091234";"P23070";"160---1062";"20---320"
"BBa_K093001";"P00638";"1---900";"1---300"
"BBa_K093014";"P00638";"1---900";"1---300"
"BBa_K094011";"P03034";"1---711";"1---237"
"BBa_K094011";"P42212";"793---1506";"1---238"
"BBa_K094100";"P0A9H9";"1---591";"1---197"
"BBa_K094110";"P0AE69";"1---387";"1---129"
"BBa_K094142";"P03023";"10---1047";"1---346"
"BBa_K098997";"P03034";"1---711";"1---237"
"BBa_K1010002";"B1Q2A8";"7---1011";"1---335"
"BBa_K1010008";"P0A433";"85---1068";"34---361"
"BBa_K1011000";"P0A9A6";"1---1149";"1---383"
"BBa_K1012001";"Q6NVU2";"24---902";"11---303"
"BBa_K1014001";"P37930";"1---942";"1---314"
"BBa_K1015001";"P03870";"1---1269";"1---423"
"BBa_K1015002";"P0AG05";"120---908";"1---263"
"BBa_K1015006";"P02980";"144---1346";"1---401"
"BBa_K1015008";"P03023";"250---1329";"1---360"
"BBa_K1015009";"P62580";"396---1052";"1---219"
"BBa_K1015010";"P00807";"923---123";"15---281"
"BBa_K1018000";"P14780";"1---1032";"107---450"
"BBa_K1019000";"P0ADH5";"1---600";"1---200"
"BBa_K1019001";"P52106";"1---648";"1---216"
"BBa_K1019003";"P33358";"1---729";"1---243"
"BBa_K1019004";"P31129";"1---888";"1---296"
"BBa_K1019005";"P0A910";"1---1038";"1---346"
"BBa_K1020002";"O31249";"1---918";"1---306"
"BBa_K1020006";"P0A9U2";"992---2725";"1---578"
"BBa_K1020006";"P0AFQ1";"3865---4968";"1---368"
"BBa_K1020006";"P0AFQ2";"2721---3851";"1---377"
"BBa_K1020006";"P75777";"1---996";"1---332"
"BBa_K1020010";"P02981";"203---1390";"1---396"
"BBa_K1021000";"P21684";"10---915";"1---302"
"BBa_K1021001";"P00552";"1---792";"1---264"
"BBa_K1021002";"P00557";"1---1023";"1---341"
"BBa_K1021003";"P16426";"1---549";"1---183"
"BBa_K1021005";"P06956";"1---1029";"1---343"
"BBa_K1023003";"P37812";"691---1086";"1---132"
"BBa_K1023003";"P42212";"4---684";"1---227"
"BBa_K1023004";"Q95P04";"4---663";"1---220"
"BBa_K1023015";"Q0C8M2";"1---768";"1---256"
"BBa_K1025000";"P03007";"1---729";"1---243"
"BBa_K1026001";"Q99ZW2";"1---4104";"1---1368"
"BBa_K1027002";"P20388";"1---1053";"1---351"
"BBa_K1027003";"Q3Z3G7";"22---534";"2---172"
"BBa_K103001";"Q9GZX7";"3---596";"1---198"
"BBa_K103008";"P62594";"2---517";"24---195"
"BBa_K103010";"P0A910";"93---437";"66---180"
"BBa_K103012";"Q48406";"2---274";"196---286"
"BBa_K1031019";"P10183";"1053---214";"21---300"
"BBa_K1031410";"Q47141";"19---906";"1---296"
"BBa_K1031441";"Q47141";"62---949";"1---296"
"BBa_K1031442";"Q47141";"71---949";"4---296"
"BBa_K1031443";"Q47141";"71---949";"4---296"
"BBa_K1031444";"Q47141";"62---949";"1---296"
"BBa_K1031510";"P62574";"19---462";"1---148"
"BBa_K1031620";"P0A390";"1---1449";"1---483"
"BBa_K1031621";"P0A390";"77---1510";"6---483"
"BBa_K1031622";"P0A390";"77---1510";"6---483"
"BBa_K1031623";"P0A390";"77---1510";"6---483"
"BBa_K1031624";"P0A390";"77---1510";"6---483"
"BBa_K1031625";"P0A390";"77---1510";"6---483"
"BBa_K1031710";"P76086";"19---966";"1---316"
"BBa_K1031742";"P76086";"74---1009";"5---316"
"BBa_K1031743";"P76086";"74---1009";"5---316"
"BBa_K1031744";"P76086";"62---1009";"1---316"
"BBa_K1031911";"P07859";"1---963";"1---321"
"BBa_K1031912";"P07859";"62---1024";"1---321"
"BBa_K1031913";"P07859";"62---1024";"1---321"
"BBa_K1031916";"P07859";"62---1024";"1---321"
"BBa_K1031917";"P07859";"63---1025";"1---321"
"BBa_K1031922";"P39849";"81---1166";"5---366"
"BBa_K1031923";"P39849";"81---1166";"5---366"
"BBa_K1031931";"P43503";"80---1519";"8---487"
"BBa_K1033000";"Q3IWB0";"22---1590";"1---523"
"BBa_K1033001";"Q42524";"23---1705";"1---561"
"BBa_K1033002";"P28343";"19---1197";"1---392"
"BBa_K1033003";"P28343";"1735---2913";"1---392"
"BBa_K1033003";"Q42524";"23---1705";"1---561"
"BBa_K1033100";"P21684";"19---924";"1---302"
"BBa_K1033103";"P22939";"20---916";"1---299"
"BBa_K1033104";"Q46822";"19---564";"1---182"
"BBa_K1033110";"Q84K96";"1---1107";"1---369"
"BBa_K1033111";"Q84K96";"1---1107";"1---369"
"BBa_K1033112";"Q6X1C0";"1---1380";"1---460"
"BBa_K1033113";"Q6X1C0";"19---1398";"1---460"
"BBa_K1033115";"P0AA30";"25---348";"2---109"
"BBa_K1033121";"P13087";"4---576";"30---220"
"BBa_K1033122";"P13087";"22---594";"30---220"
"BBa_K1033902";"P83690";"1---663";"1---221"
"BBa_K1033916";"Q9U6Y6";"1---687";"1---229"
"BBa_K1033919";"Q95P04";"1---663";"1---221"
"BBa_K1033933";"Q9GZ28";"1---696";"1---232"
"BBa_K1036001";"P00393";"1---1302";"1---434"
"BBa_K1037000";"P52045";"1---783";"1---261"
"BBa_K1037001";"P27254";"1---993";"1---331"
"BBa_K1037002";"P27253";"1---2142";"1---714"
"BBa_K1037003";"P52043";"1---1476";"1---492"
"BBa_K1039013";"Q9T216";"1---732";"1---244"
"BBa_K1039018";"P69541";"1---219";"1---73"
"BBa_K1039022";"P03023";"71---1150";"1---360"
"BBa_K1039022";"Q9T216";"3970---4701";"1---244"
"BBa_K1039023";"P03023";"71---1150";"1---360"
"BBa_K1039024";"P03023";"71---1150";"1---360"
"BBa_K104000";"P04637";"198---1376";"1---393"
"BBa_K1040000";"P0AB80";"1---927";"1---309"
"BBa_K1040001";"Q1RDQ5";"1---507";"1---169"
"BBa_K104004";"P33112";"1---660";"1---220"
"BBa_K104006";"P33113";"19---1179";"1---387"
"BBa_K1043008";"D7URV0";"19---1005";"1---329"
"BBa_K1043009";"Q9ZHI2";"5---1702";"1---567"
"BBa_K1049000";"P40363";"280---1176";"1---299"
"BBa_K1049001";"P53296";"1---1605";"1---535"
"BBa_K105008";"P42212";"16---729";"1---238"
"BBa_K1051114";"P61836";"1---408";"1---136"
"BBa_K1051115";"P04912";"73---396";"25---132"
"BBa_K1051116";"P15891";"1---1776";"1---592"
"BBa_K1051129";"P42212";"1---714";"1---238"
"BBa_K1051130";"P42212";"1---714";"1---238"
"BBa_K1051131";"P42212";"1---714";"1---238"
"BBa_K1051132";"P42212";"64---777";"1---238"
"BBa_K1051133";"P42212";"415---1128";"1---238"
"BBa_K1051133";"P61836";"1---408";"1---136"
"BBa_K1051134";"P04912";"73---396";"25---132"
"BBa_K1051134";"P42212";"403---1116";"1---238"
"BBa_K1051135";"Q9U6Y8";"49---693";"7---221"
"BBa_K1051136";"Q9U6Y8";"49---693";"7---221"
"BBa_K1051137";"Q9U6Y8";"49---693";"7---221"
"BBa_K1051138";"Q9U6Y8";"112---756";"7---221"
"BBa_K1051139";"P61836";"1---408";"1---136"
"BBa_K1051140";"Q9U6Y8";"451---1095";"7---221"
"BBa_K1051500";"P38634";"1---852";"1---284"
"BBa_K1051501";"P13365";"1---1740";"1---580"
"BBa_K1051502";"P38634";"1---852";"1---284"
"BBa_K1051503";"P13365";"1---1740";"1---580"
"BBa_K1051705";"P16523";"1---810";"1---270"
"BBa_K1051800";"Q99ZW2";"1---4080";"1---1360"
"BBa_K1053103";"P03612";"504---893";"1---130"
"BBa_K1053103";"P42212";"3---473";"1---157"
"BBa_K1053104";"P42212";"7---249";"158---238"
"BBa_K1054000";"P69487";"3---278";"61---152"
"BBa_K1054001";"P69487";"159---434";"61---152"
"BBa_K1054002";"Q99163";"1---261";"1---87"
"BBa_K1054003";"P94516";"1---603";"1---201"
"BBa_K1054010";"P62594";"1---510";"24---193"
"BBa_K1054011";"Q48406";"1---273";"196---286"
"BBa_K1054012";"P0A9H9";"1064---1651";"2---197"
"BBa_K1054012";"P12746";"64---813";"1---250"
"BBa_K1054013";"P0A9H9";"1064---1651";"2---197"
"BBa_K1054013";"P12746";"64---813";"1---250"
"BBa_K1054014";"P22629";"717---1004";"41---136"
"BBa_K1054014";"P42212";"80---550";"1---157"
"BBa_K1054015";"P22629";"495---782";"41---136"
"BBa_K1054015";"P42212";"83---325";"158---238"
"BBa_K1054016";"P22629";"531---818";"41---136"
"BBa_K1054016";"Q48406";"80---355";"195---286"
"BBa_K1054017";"Q3YY32";"593---1462";"1---290"
"BBa_K1054018";"Q3YY32";"368---1237";"1---290"
"BBa_K1054019";"Q3YY32";"632---1501";"1---290"
"BBa_K1054020";"Q3YY32";"398---1267";"1---290"
"BBa_K1054021";"Q3YY32";"908---1777";"1---290"
"BBa_K1054022";"P42212";"326---1039";"1---238"
"BBa_K1054023";"P42212";"319---1032";"1---238"
"BBa_K1054024";"P94515";"441---4";"1---146"
"BBa_K1058004";"P18357";"1753---2";"2---585"
"BBa_K106000";"P42212";"4---711";"2---237"
"BBa_K1060000";"P0AB91";"1---1050";"1---350"
"BBa_K1060001";"Q9K498";"1---1383";"1---461"
"BBa_K1060002";"Q9FXY7";"58---1722";"20---577"
"BBa_K106001";"P11978";"1---4074";"1---1358"
"BBa_K106002";"P06700";"1---1686";"1---562"
"BBa_K106003";"P06700";"1---1683";"2---562"
"BBa_K106004";"Q9U6Y8";"34---678";"7---221"
"BBa_K106005";"Q9U6Y8";"31---675";"7---221"
"BBa_K106009";"O80536";"1---300";"1---100"
"BBa_K106010";"P14713";"55---1863";"19---621"
"BBa_K106011";"P40963";"1---1014";"1---338"
"BBa_K106012";"P40963";"1---1011";"2---338"
"BBa_K106013";"Q08649";"1---1335";"1---445"
"BBa_K106028";"P42212";"4---711";"2---237"
"BBa_K1061001";"P69485";"3---365";"37---157"
"BBa_K1061002";"Q13546";"1---2013";"1---671"
"BBa_K1061003";"Q9Y572";"1---1554";"1---518"
"BBa_K1061006";"Q07812";"1---576";"1---192"
"BBa_K1061012";"P04483";"1---621";"1---207"
"BBa_K1061012";"P04486";"622---1005";"363---490"
"BBa_K1061015";"P04483";"1---618";"1---206"
"BBa_K1061016";"P04483";"1---621";"1---207"
"BBa_K1061016";"P06492";"622---1005";"363---490"
"BBa_K1064004";"P08684";"1---1416";"32---503"
"BBa_K106664";"P08151";"1---513";"226---396"
"BBa_K106665";"P08151";"1---513";"226---396"
"BBa_K106666";"P03023";"4---1062";"1---353"
"BBa_K106667";"P03023";"4---1062";"1---353"
"BBa_K106668";"P04483";"1---618";"1---206"
"BBa_K106669";"P04483";"1---621";"1---207"
"BBa_K106671";"P42212";"4---711";"2---237"
"BBa_K106677";"P47821";"1---969";"1---323"
"BBa_K106692";"P06701";"1---2934";"1---978"
"BBa_K1067002";"Q50926";"730---1296";"1---189"
"BBa_K1067002";"Q57142";"20---694";"1---225"
"BBa_K1067003";"Q04507";"980---1807";"1---276"
"BBa_K1067003";"Q04508";"1812---3071";"1---420"
"BBa_K1067004";"Q50925";"1---1710";"1---570"
"BBa_K1067005";"Q04507";"2427---3254";"1---276"
"BBa_K1067005";"Q04508";"3259---4518";"1---420"
"BBa_K1067005";"Q50925";"4528---6237";"1---570"
"BBa_K1067005";"Q50926";"730---1296";"1---189"
"BBa_K1067005";"Q57142";"20---694";"1---225"
"BBa_K1067006";"P24474";"1---1704";"1---568"
"BBa_K1067006";"P95412";"3612---4055";"1---148"
"BBa_K1067006";"P95413";"4061---4582";"1---174"
"BBa_K1067006";"P95415";"4996---5508";"1---171"
"BBa_K1067006";"Q51480";"2470---3600";"16---392"
"BBa_K1069004";"P42212";"187---900";"1---238"
"BBa_K1069005";"P14136";"1---1296";"1---432"
"BBa_K1069005";"P42212";"1483---2196";"1---238"
"BBa_K1071001";"P17493";"1---372";"1---124"
"BBa_K1071002";"P62580";"1---657";"1---219"
"BBa_K1071008";"P0DOX5";"58---1401";"1---449"
"BBa_K1072001";"P00393";"1---1302";"1---434"
"BBa_K1073000";"P62594";"1---858";"1---286"
"BBa_K1074002";"P03140";"8---688";"174---400"
"BBa_K1074003";"P9WQP1";"1---855";"41---325"
"BBa_K1074004";"P13423";"1---420";"625---764"
"BBa_K1074005";"D0Z6T1";"1---309";"22---124"
"BBa_K1074009";"O34344";"1488---2096";"1---203"
"BBa_K1074009";"O34616";"474---1442";"1---323"
"BBa_K1074009";"O34889";"1---474";"1---158"
"BBa_K1075012";"Q2RBR1";"28---408";"404---530"
"BBa_K1075013";"Q2RBR1";"28---408";"404---530"
"BBa_K1075032";"P62552";"1---216";"1---72"
"BBa_K108000";"P23909";"1---2559";"1---853"
"BBa_K1080000";"Q94FT3";"52---1110";"65---417"
"BBa_K1080005";"Q9AR22";"22---1143";"34---407"
"BBa_K1080006";"P18068";"28---318";"49---145"
"BBa_K1080007";"Q39617";"25---981";"53---371"
"BBa_K108001";"P00726";"781---1239";"1---153"
"BBa_K108001";"P03706";"308---781";"1---158"
"BBa_K108002";"P75933";"1---657";"1---219"
"BBa_K108003";"P0ABX1";"1---414";"1---138"
"BBa_K108004";"P0ABX2";"1---402";"1---134"
"BBa_K108005";"B2U541";"1---696";"1---232"
"BBa_K108006";"P0A6S4";"1---1095";"1---365"
"BBa_K108007";"P24216";"67---1404";"23---468"
"BBa_K108008";"P52612";"37---1371";"13---457"
"BBa_K108009";"P52614";"1---1125";"1---375"
"BBa_K108010";"P06974";"1---1002";"1---334"
"BBa_K108011";"P15070";"1---411";"1---137"
"BBa_K108012";"P09348";"1---885";"1---295"
"BBa_K108013";"P76010";"1---732";"1---244"
"BBa_K108018";"P14611";"1---1179";"1---393"
"BBa_K108018";"P14697";"1257---1994";"1---246"
"BBa_K108019";"P23608";"1---1767";"1---589"
"BBa_K108020";"P0AEE8";"1---834";"1---278"
"BBa_K108021";"Q3YWY8";"1---294";"1---98"
"BBa_K108022";"B1J0M7";"1---609";"1---203"
"BBa_K108023";"Q32HA1";"1---1008";"1---336"
"BBa_K108024";"Q32H98";"1---519";"1---173"
"BBa_K108026";"P21394";"1---1050";"1---350"
"BBa_K108027";"P21395";"1---1107";"1---369"
"BBa_K108028";"P39849";"1---1098";"1---366"
"BBa_K108029";"P07859";"1---963";"1---321"
"BBa_K1081001";"Q83PM8";"1---273";"1---91"
"BBa_K1082001";"P42212";"127---840";"1---238"
"BBa_K1085010";"P37957";"14---649";"1---212"
"BBa_K1085011";"P37957";"14---649";"1---212"
"BBa_K1085012";"P37957";"14---649";"1---212"
"BBa_K1085013";"P37957";"14---625";"1---204"
"BBa_K1085050";"O34757";"2684---3604";"4---310"
"BBa_K1085050";"O35046";"95---1069";"1---325"
"BBa_K1085050";"P0A4K6";"1225---2523";"27---458"
"BBa_K1088000";"P54523";"1---1899";"1---633"
"BBa_K1088003";"Q8W3U4";"1---852";"1---284"
"BBa_K1088004";"B7LKC3";"1---1116";"1---372"
"BBa_K1088005";"P0A9E0";"1---876";"1---292"
"BBa_K1088018";"P03023";"1---1080";"1---360"
"BBa_K1088023";"P03023";"10---1089";"1---360"
"BBa_K1088056";"P0DKX7";"7---687";"1---227"
"BBa_K1088063";"P0C078";"1---285";"1---95"
"BBa_K1091001";"P42212";"1---714";"1---238"
"BBa_K1091002";"P42212";"1---714";"1---238"
"BBa_K1091003";"P42212";"1---714";"1---238"
"BBa_K1091004";"P42212";"1---714";"1---238"
"BBa_K1091005";"P42212";"1---714";"1---238"
"BBa_K1091006";"P42212";"1---714";"1---238"
"BBa_K1092004";"P07788";"1---1539";"1---513"
"BBa_K1093000";"P42212";"1---714";"1---238"
"BBa_K1093001";"P42212";"1---714";"1---238"
"BBa_K1093002";"P42212";"1---714";"1---238"
"BBa_K1093003";"P42212";"1---642";"1---214"
"BBa_K1093004";"P42212";"1---642";"1---214"
"BBa_K1093005";"P42212";"1---642";"1---214"
"BBa_K1093006";"P42212";"1---642";"1---214"
"BBa_K1093009";"P42212";"4---717";"1---238"
"BBa_K1093010";"P42212";"4---717";"1---238"
"BBa_K1093011";"P42212";"4---645";"1---214"
"BBa_K1093012";"P42212";"4---645";"1---214"
"BBa_K1093013";"P35754";"1---318";"1---106"
"BBa_K1093013";"P42212";"424---1137";"1---238"
"BBa_K1093014";"P42212";"1---462";"1---154"
"BBa_K1093015";"P42212";"1---252";"155---238"
"BBa_K1093016";"Q9U6Y8";"34---477";"7---154"
"BBa_K1093018";"Q9U6Y8";"49---477";"7---149"
"BBa_K1093022";"Q1RCM8";"62---1315";"1---418"
"BBa_K1093025";"B7MK73";"1---693";"1---231"
"BBa_K1093029";"P0AE21";"400---1191";"1---264"
"BBa_K1093030";"P42212";"376---1089";"1---238"
"BBa_K1093030";"P68689";"16---270";"1---85"
"BBa_K1093032";"P42212";"4---717";"1---238"
"BBa_K109550";"P03052";"306---4";"1---101"
"BBa_K1096000";"P27352";"85---1260";"26---417"
"BBa_K1096001";"P0AE72";"1---246";"1---82"
"BBa_K1096002";"P0AE70";"1---333";"1---111"
"BBa_K109700";"P0A910";"1---1038";"1---346"
"BBa_K1104100";"P54746";"1---2631";"1---877"
"BBa_K1104101";"P08191";"673---1149";"21---179"
"BBa_K1104200";"P0ACQ4";"1---915";"1---305"
"BBa_K1104301";"P17722";"4---159";"44---95"
"BBa_K1104400";"P0DJA2";"1---1149";"1---383"
"BBa_K1104401";"P06672";"1---1704";"1---568"
"BBa_K1104999";"P11220";"179---2008";"1---610"
"BBa_K1109007";"P05825";"62---2266";"1---746"
"BBa_K1111006";"Q833V7";"22---1545";"3---510"
"BBa_K1111008";"P08253";"22---1998";"2---660"
"BBa_K1111010";"P22629";"4---384";"37---163"
"BBa_K1111011";"P22629";"4---384";"37---163"
"BBa_K1111012";"O30611";"632---1402";"1---257"
"BBa_K1111012";"P22629";"1613---1990";"38---163"
"BBa_K1111013";"O30611";"632---1402";"1---257"
"BBa_K1111013";"P22629";"1613---1990";"38---163"
"BBa_K1111014";"O30611";"632---1402";"1---257"
"BBa_K1111014";"P22629";"1613---1990";"38---163"
"BBa_K1111015";"O30611";"632---1402";"1---257"
"BBa_K1111015";"P22629";"2339---2725";"35---163"
"BBa_K1111015";"P42212";"1616---2323";"3---238"
"BBa_K1111016";"O30611";"632---1402";"1---257"
"BBa_K1111016";"P22629";"1571---1942";"35---158"
"BBa_K1111016";"P42212";"2018---2725";"3---238"
"BBa_K1112002";"P26494";"409---2085";"1---559"
"BBa_K1112002";"P26495";"2151---2993";"1---281"
"BBa_K1112002";"P26496";"3027---4706";"1---560"
"BBa_K1113501";"O85040";"1237---2655";"1---473"
"BBa_K1113701";"O85040";"1---1419";"1---473"
"BBa_K1114200";"P0AG05";"2---790";"1---263"
"BBa_K1114201";"P03023";"14---1093";"1---360"
"BBa_K1114202";"P04483";"2---622";"1---207"
"BBa_K1114203";"P54292";"5---691";"1---229"
"BBa_K1114204";"P0A9E0";"5---880";"1---292"
"BBa_K1114213";"P62580";"5---661";"1---219"
"BBa_K1114508";"P42212";"324---1037";"1---238"
"BBa_K1114510";"P42212";"178---891";"1---238"
"BBa_K1114511";"P42212";"254---967";"1---238"
"BBa_K1114512";"P0A9E0";"156---1031";"1---292"
"BBa_K1114513";"P42212";"159---872";"1---238"
"BBa_K1114514";"P42212";"159---872";"1---238"
"BBa_K1114515";"Q9U6Y8";"156---818";"1---221"
"BBa_K1114516";"P04483";"153---773";"1---207"
"BBa_K1114704";"Q9U6Y8";"155---802";"6---221"
"BBa_K1117001";"Q8RB68";"1---1818";"1---606"
"BBa_K1117002";"Q8R5T7";"1---1620";"1---540"
"BBa_K1117003";"Q8R5T8";"18---299";"1---94"
"BBa_K1119002";"P0A9G6";"1---1302";"1---434"
"BBa_K1119003";"P08997";"1---1599";"1---533"
"BBa_K112000";"P06808";"1---654";"1---218"
"BBa_K112001";"P03699";"1---213";"2---72"
"BBa_K112002";"P06808";"1---654";"1---218"
"BBa_K112004";"P06808";"5---658";"1---218"
"BBa_K112006";"P13304";"1---291";"1---97"
"BBa_K112009";"P13304";"1---288";"2---97"
"BBa_K112010";"P13304";"5---295";"1---97"
"BBa_K112012";"P00720";"1---492";"1---164"
"BBa_K112015";"P00720";"1---489";"2---164"
"BBa_K112016";"P00720";"5---496";"1---164"
"BBa_K1121000";"P27250";"1---1017";"1---339"
"BBa_K112103";"P23940";"1---639";"1---213"
"BBa_K112104";"P23940";"1---639";"1---213"
"BBa_K112105";"P23940";"1---636";"2---213"
"BBa_K112106";"Q45488";"1---669";"1---223"
"BBa_K112107";"Q45488";"1---669";"1---223"
"BBa_K112114";"P00970";"5---1465";"1---487"
"BBa_K112115";"P06956";"5---1033";"1---343"
"BBa_K112116";"P23940";"5---643";"1---213"
"BBa_K112117";"Q45488";"5---673";"1---223"
"BBa_K112119";"P06956";"20---1048";"1---343"
"BBa_K112122";"P06956";"1---1029";"1---343"
"BBa_K112123";"Q45488";"1---666";"2---223"
"BBa_K112130";"P03700";"216---1283";"1---356"
"BBa_K112135";"P0A9E0";"923---48";"1---292"
"BBa_K112135";"P19654";"1495---2337";"1---281"
"BBa_K112135";"P28813";"2362---3552";"1---397"
"BBa_K112136";"P0A9E0";"923---48";"1---292"
"BBa_K112136";"P19654";"1495---2337";"1---281"
"BBa_K112136";"P28813";"2362---3552";"1---397"
"BBa_K112136";"P62580";"4506---5162";"1---219"
"BBa_K112140";"P62580";"254---910";"1---219"
"BBa_K112140";"P62594";"1219---2076";"1---286"
"BBa_K112146";"P03705";"803---1123";"1---107"
"BBa_K112146";"P03706";"306---779";"1---158"
"BBa_K112147";"P03705";"604---924";"1---107"
"BBa_K112147";"P03706";"107---580";"1---158"
"BBa_K112200";"P03699";"1---216";"1---72"
"BBa_K1122000";"P06533";"1---333";"1---111"
"BBa_K1122004";"P42212";"19---726";"3---238"
"BBa_K1122005";"Q9U6Y8";"19---675";"3---221"
"BBa_K1122006";"Q9U6Y8";"46---690";"7---221"
"BBa_K1122007";"Q95P04";"16---675";"2---221"
